"","iProdSAT","iSalesSAT","Segment","iProdREC","iSalesREC"
"1",6,2,"1",4,3
"2",4,5,"3",4,4
"3",5,3,"4",5,4
"4",3,3,"2",4,4
"5",3,3,"3",2,2
"6",4,4,"4",5,4
"7",4,3,"1",4,2
"8",5,1,"3",3,3
"9",4,4,"3",4,1
"10",4,2,"3",2,2
"11",6,6,"4",4,4
"12",3,2,"1",2,2
"13",5,5,"4",2,3
"14",4,3,"2",3,2
"15",5,4,"4",4,4
"16",3,1,"1",4,4
"17",7,5,"4",6,5
"18",3,5,"2",3,3
"19",4,4,"2",1,1
"20",6,6,"4",5,3
"21",3,5,"3",4,4
"22",5,4,"3",4,4
"23",4,2,"2",4,6
"24",6,5,"4",6,3
"25",5,3,"3",3,4
"26",4,4,"3",2,2
"27",5,3,"2",2,2
"28",4,4,"3",6,5
"29",5,4,"3",1,3
"30",3,4,"2",4,3
"31",6,5,"4",4,4
"32",5,4,"4",5,3
"33",4,4,"2",4,3
"34",4,4,"1",3,4
"35",3,4,"2",3,4
"36",1,2,"1",4,4
"37",3,3,"1",4,1
"38",4,4,"4",3,5
"39",5,3,"4",4,2
"40",4,4,"2",3,3
"41",5,6,"4",4,6
"42",5,2,"3",4,3
"43",5,4,"3",4,5
"44",3,4,"4",2,4
"45",5,6,"4",4,5
"46",4,4,"1",5,4
"47",6,4,"3",6,5
"48",6,6,"4",3,3
"49",4,4,"4",5,5
"50",4,4,"3",5,3
"51",5,5,"2",3,4
"52",2,1,"1",3,2
"53",2,2,"3",5,4
"54",5,3,"4",1,3
"55",3,3,"2",3,4
"56",4,5,"3",4,4
"57",5,3,"2",5,2
"58",3,1,"1",2,2
"59",4,4,"2",5,4
"60",5,5,"4",3,1
"61",3,3,"1",4,1
"62",5,3,"4",1,2
"63",4,4,"4",6,4
"64",1,4,"1",5,1
"65",3,5,"1",3,4
"66",4,3,"3",3,5
"67",4,5,"3",3,2
"68",4,2,"3",2,4
"69",5,4,"3",4,5
"70",5,5,"4",4,3
"71",5,4,"4",3,3
"72",7,4,"3",6,5
"73",4,2,"4",2,2
"74",2,3,"3",2,1
"75",6,3,"4",4,4
"76",4,5,"3",5,3
"77",6,4,"4",6,4
"78",5,3,"4",4,4
"79",5,5,"1",5,3
"80",4,4,"2",4,2
"81",4,2,"1",2,2
"82",3,6,"4",5,3
"83",4,2,"3",4,2
"84",4,4,"2",5,4
"85",4,5,"3",5,5
"86",6,3,"3",4,5
"87",5,4,"4",3,3
"88",4,5,"3",6,7
"89",4,3,"3",4,2
"90",3,1,"3",5,2
"91",5,5,"4",6,5
"92",5,5,"4",6,5
"93",4,4,"4",4,4
"94",6,2,"2",4,3
"95",3,4,"3",2,3
"96",4,5,"4",4,5
"97",5,4,"3",5,4
"98",3,4,"2",3,5
"99",3,3,"3",4,1
"100",4,4,"1",4,2
"101",3,4,"3",4,4
"102",6,4,"4",6,3
"103",4,3,"4",2,2
"104",4,4,"2",1,2
"105",5,4,"4",6,4
"106",4,3,"3",3,4
"107",3,3,"1",2,4
"108",4,3,"2",5,4
"109",6,4,"3",7,4
"110",2,5,"3",6,2
"111",4,5,"4",7,4
"112",2,4,"2",2,2
"113",4,4,"3",5,3
"114",3,2,"1",3,3
"115",5,4,"4",5,5
"116",3,2,"2",3,3
"117",2,3,"2",3,3
"118",5,3,"3",4,3
"119",4,4,"4",4,5
"120",3,4,"3",5,3
"121",5,5,"3",4,6
"122",3,3,"3",4,5
"123",4,5,"4",3,2
"124",5,4,"3",5,3
"125",4,4,"2",5,3
"126",3,4,"2",3,2
"127",3,3,"2",3,4
"128",5,5,"4",7,4
"129",5,5,"4",4,4
"130",4,5,"4",5,3
"131",5,3,"1",3,2
"132",4,3,"3",2,3
"133",4,3,"2",3,5
"134",5,5,"4",4,5
"135",5,3,"3",2,4
"136",3,3,"3",2,3
"137",5,5,"3",5,4
"138",4,5,"3",5,1
"139",3,3,"4",3,3
"140",4,4,"2",3,2
"141",4,4,"1",5,4
"142",4,2,"3",3,2
"143",5,2,"3",4,2
"144",4,4,"4",5,5
"145",4,3,"2",4,4
"146",4,4,"2",3,3
"147",6,4,"4",3,4
"148",4,4,"2",3,3
"149",3,4,"3",3,2
"150",4,3,"4",5,4
"151",5,6,"4",6,3
"152",6,5,"3",5,3
"153",6,6,"4",5,4
"154",6,6,"3",7,6
"155",5,4,"4",2,1
"156",5,6,"4",4,3
"157",4,4,"2",5,4
"158",3,3,"2",3,2
"159",6,6,"4",5,5
"160",5,5,"4",1,2
"161",5,4,"4",5,5
"162",5,4,"3",6,4
"163",3,6,"3",6,5
"164",6,4,"4",6,5
"165",4,4,"4",7,4
"166",3,4,"4",4,4
"167",3,4,"3",6,4
"168",3,2,"2",3,3
"169",4,5,"2",5,4
"170",4,5,"3",3,5
"171",4,4,"3",3,4
"172",4,1,"3",3,4
"173",3,2,"2",2,3
"174",6,5,"2",5,4
"175",4,3,"3",4,4
"176",4,5,"4",5,3
"177",3,3,"3",2,1
"178",5,6,"4",5,6
"179",4,4,"3",5,5
"180",4,3,"2",7,5
"181",1,3,"1",5,3
"182",5,6,"4",6,3
"183",4,4,"3",5,6
"184",5,5,"4",5,4
"185",4,6,"4",3,1
"186",4,5,"4",5,4
"187",2,4,"2",5,2
"188",5,5,"2",3,3
"189",5,3,"4",3,3
"190",4,4,"2",2,2
"191",2,3,"2",4,2
"192",4,2,"2",4,4
"193",6,5,"4",4,3
"194",4,2,"1",4,4
"195",6,5,"4",6,4
"196",4,3,"4",4,3
"197",5,3,"3",5,4
"198",4,3,"2",2,3
"199",4,4,"3",3,4
"200",5,5,"3",5,4
"201",5,4,"4",4,3
"202",5,3,"3",3,1
"203",4,3,"2",5,4
"204",4,6,"3",5,3
"205",4,2,"2",3,3
"206",3,3,"3",5,3
"207",3,5,"4",5,3
"208",4,3,"3",2,3
"209",5,4,"2",4,3
"210",4,3,"3",5,3
"211",4,3,"2",5,3
"212",5,4,"4",5,4
"213",4,3,"2",3,3
"214",3,3,"4",5,4
"215",5,4,"4",3,3
"216",4,3,"2",4,4
"217",5,5,"4",4,4
"218",4,5,"4",6,4
"219",2,4,"2",3,3
"220",2,3,"3",5,4
"221",2,4,"1",3,5
"222",4,4,"2",2,3
"223",4,4,"1",2,3
"224",3,3,"2",4,4
"225",4,4,"4",4,3
"226",4,3,"1",5,3
"227",4,3,"3",3,3
"228",4,4,"4",2,2
"229",4,3,"2",5,4
"230",7,4,"4",5,6
"231",4,4,"3",4,3
"232",3,3,"2",5,4
"233",4,6,"4",4,3
"234",3,3,"1",5,4
"235",4,5,"3",3,4
"236",4,6,"3",4,1
"237",6,5,"2",5,3
"238",4,3,"3",5,5
"239",6,5,"4",6,4
"240",4,4,"2",4,2
"241",4,5,"1",4,6
"242",4,5,"3",3,3
"243",4,3,"2",3,3
"244",4,4,"3",4,4
"245",2,2,"3",4,2
"246",2,3,"3",2,3
"247",5,3,"2",5,4
"248",2,4,"2",4,5
"249",4,3,"3",3,3
"250",6,4,"4",3,3
"251",5,4,"2",3,5
"252",2,4,"3",3,3
"253",4,4,"4",2,4
"254",2,3,"2",3,1
"255",5,4,"1",5,4
"256",5,5,"4",5,4
"257",4,4,"3",4,4
"258",5,6,"3",5,5
"259",3,2,"4",1,3
"260",2,2,"2",3,3
"261",3,2,"4",4,2
"262",5,4,"4",5,5
"263",3,3,"4",4,3
"264",5,1,"2",3,2
"265",4,3,"4",5,3
"266",4,6,"4",4,2
"267",5,6,"4",6,5
"268",5,3,"2",5,4
"269",4,4,"4",4,5
"270",5,5,"4",4,5
"271",5,4,"3",4,4
"272",3,4,"3",5,3
"273",3,4,"2",6,6
"274",2,1,"1",4,3
"275",5,5,"2",3,2
"276",5,5,"4",5,5
"277",3,3,"3",2,1
"278",3,4,"1",5,3
"279",5,5,"4",5,4
"280",5,5,"4",3,2
"281",7,7,"4",5,4
"282",4,3,"4",3,2
"283",3,2,"3",3,2
"284",4,2,"2",5,3
"285",4,4,"1",2,2
"286",4,3,"2",3,4
"287",5,4,"3",5,4
"288",5,2,"3",4,5
"289",4,3,"3",3,3
"290",5,5,"3",4,6
"291",4,3,"4",7,3
"292",5,3,"4",5,2
"293",2,3,"2",4,4
"294",4,4,"4",2,3
"295",4,4,"2",6,4
"296",3,4,"3",5,3
"297",5,4,"3",5,4
"298",5,5,"3",4,2
"299",5,5,"3",4,5
"300",4,4,"3",5,3
"301",5,4,"1",4,4
"302",3,2,"1",5,3
"303",4,4,"4",5,3
"304",5,4,"4",3,4
"305",4,4,"3",6,5
"306",5,4,"4",4,4
"307",4,3,"4",5,4
"308",3,4,"2",5,3
"309",5,5,"3",5,5
"310",4,5,"4",5,6
"311",4,2,"3",4,2
"312",5,4,"4",7,5
"313",3,2,"1",3,3
"314",5,4,"3",5,5
"315",7,4,"4",5,4
"316",4,5,"4",3,5
"317",4,2,"4",5,3
"318",4,4,"4",5,4
"319",4,2,"2",3,2
"320",4,4,"4",5,3
"321",3,5,"2",4,3
"322",5,4,"4",6,5
"323",5,2,"3",2,3
"324",4,6,"3",4,3
"325",4,3,"2",4,5
"326",5,6,"3",4,3
"327",3,3,"1",4,5
"328",3,5,"4",6,3
"329",6,5,"3",6,6
"330",4,6,"3",5,5
"331",5,4,"4",4,3
"332",3,3,"1",2,2
"333",5,3,"2",5,3
"334",5,4,"2",6,4
"335",4,4,"3",5,3
"336",5,7,"4",5,3
"337",5,5,"3",5,4
"338",4,3,"2",3,4
"339",5,4,"4",3,5
"340",6,4,"4",7,5
"341",4,3,"1",4,2
"342",5,5,"4",3,1
"343",4,3,"2",4,5
"344",4,3,"2",2,1
"345",5,4,"3",5,3
"346",4,3,"2",3,2
"347",3,3,"2",4,5
"348",3,3,"2",5,4
"349",5,2,"1",3,4
"350",4,5,"3",4,3
"351",5,4,"4",4,5
"352",4,4,"4",5,3
"353",3,4,"2",6,5
"354",4,4,"3",5,3
"355",6,6,"4",5,4
"356",4,2,"1",4,5
"357",3,2,"4",4,4
"358",4,3,"1",5,4
"359",4,3,"2",5,3
"360",5,4,"3",3,3
"361",4,3,"2",3,3
"362",5,7,"4",4,4
"363",2,3,"3",4,4
"364",5,3,"3",4,3
"365",3,5,"2",4,4
"366",4,3,"2",3,3
"367",5,3,"3",3,3
"368",5,5,"3",4,5
"369",5,4,"2",6,6
"370",5,4,"3",1,2
"371",4,5,"3",3,2
"372",6,6,"4",5,4
"373",4,4,"3",5,3
"374",4,5,"4",4,6
"375",5,5,"4",4,4
"376",5,5,"3",5,5
"377",3,4,"2",4,5
"378",3,3,"3",4,3
"379",5,4,"3",2,2
"380",3,5,"4",4,3
"381",4,3,"1",5,6
"382",4,4,"4",4,4
"383",4,3,"4",3,5
"384",5,4,"1",4,3
"385",5,5,"4",7,4
"386",3,3,"2",3,2
"387",5,6,"3",5,6
"388",3,3,"2",5,2
"389",4,4,"2",4,3
"390",4,3,"3",6,4
"391",6,6,"4",6,5
"392",4,4,"4",6,4
"393",4,3,"1",3,4
"394",3,6,"3",3,4
"395",4,3,"2",5,4
"396",2,3,"2",3,3
"397",5,5,"3",3,3
"398",5,6,"4",5,5
"399",2,2,"2",5,4
"400",6,4,"4",5,3
"401",3,3,"1",2,1
"402",5,4,"3",3,3
"403",4,4,"2",4,2
"404",3,2,"4",5,4
"405",3,2,"2",4,3
"406",4,5,"3",5,6
"407",4,3,"2",2,2
"408",3,4,"4",5,4
"409",5,3,"2",2,2
"410",5,3,"3",3,4
"411",3,1,"2",3,1
"412",5,4,"4",4,3
"413",4,4,"1",5,2
"414",4,3,"3",5,4
"415",2,2,"2",5,3
"416",3,3,"1",5,3
"417",4,4,"4",5,3
"418",7,7,"4",4,3
"419",4,4,"2",4,3
"420",4,2,"2",5,7
"421",4,5,"3",5,4
"422",6,5,"3",4,4
"423",5,3,"2",5,2
"424",3,4,"1",3,3
"425",5,3,"2",2,3
"426",2,4,"2",5,3
"427",4,5,"3",3,3
"428",4,4,"4",4,4
"429",7,5,"4",5,4
"430",5,4,"3",6,3
"431",4,4,"2",3,4
"432",2,2,"3",3,3
"433",3,5,"2",4,4
"434",3,4,"4",5,3
"435",4,3,"2",3,3
"436",4,4,"4",6,6
"437",4,3,"4",4,3
"438",5,5,"4",3,2
"439",7,5,"4",6,5
"440",4,3,"3",5,3
"441",2,2,"3",2,1
"442",4,4,"3",2,4
"443",4,5,"2",6,4
"444",4,2,"2",4,4
"445",4,4,"2",3,4
"446",5,4,"4",4,2
"447",4,4,"2",3,3
"448",2,3,"3",3,2
"449",4,4,"3",3,4
"450",4,2,"3",4,4
"451",3,3,"2",4,2
"452",2,3,"2",3,4
"453",5,3,"3",4,6
"454",3,3,"2",3,3
"455",6,5,"2",4,4
"456",5,4,"1",7,3
"457",5,4,"4",5,4
"458",4,5,"4",2,1
"459",4,5,"3",4,3
"460",2,3,"3",2,1
"461",4,3,"2",2,2
"462",3,5,"2",3,2
"463",3,4,"1",2,1
"464",3,4,"2",6,3
"465",3,5,"4",3,3
"466",5,3,"3",5,4
"467",5,4,"4",7,5
"468",1,1,"2",3,1
"469",4,5,"4",6,5
"470",2,3,"3",2,1
"471",4,3,"2",6,6
"472",3,2,"3",1,2
"473",5,4,"2",4,2
"474",5,4,"2",4,4
"475",4,4,"4",3,3
"476",3,1,"1",2,4
"477",5,5,"2",2,2
"478",3,4,"4",3,2
"479",2,2,"1",2,2
"480",3,4,"3",5,4
"481",5,3,"2",4,5
"482",5,5,"4",4,4
"483",5,3,"3",7,5
"484",5,4,"4",3,4
"485",6,5,"4",6,3
"486",5,5,"3",2,4
"487",3,3,"2",6,4
"488",3,4,"3",5,5
"489",3,3,"1",2,1
"490",4,4,"2",3,2
"491",5,3,"4",2,2
"492",5,5,"4",5,4
"493",4,3,"1",6,3
"494",4,2,"2",3,3
"495",4,4,"3",4,4
"496",3,1,"1",4,2
"497",5,4,"4",6,3
"498",5,4,"4",5,3
"499",4,4,"3",5,3
"500",3,4,"2",4,2
