daywk,weekday,Date,Cakes,Pies,Cookies,Smoothies,Coffee,promotion
Wednesday,3,12/31/2014,87,64,337,151,322,none
Thursday,4,1/1/2015,88,39,281,155,407,none
Friday,5,1/2/2015,97,35,575,131,420,none
Saturday,6,1/3/2015,104,48,742,175,536,none
Sunday,7,1/4/2015,85,76,394,196,530,none
Monday,1,1/5/2015,87,52,335,116,362,none
Tuesday,2,1/6/2015,82,43,458,146,295,none
Wednesday,3,1/7/2015,96,49,400,173,246,none
Thursday,4,1/8/2015,94,43,570,185,445,none
Friday,5,1/9/2015,90,54,526,186,400,none
Saturday,6,1/10/2015,111,64,641,198,570,none
Sunday,7,1/11/2015,109,67,614,163,451,none
Monday,1,1/12/2015,76,51,410,166,411,none
Tuesday,2,1/13/2015,75,50,484,143,408,none
Wednesday,3,1/14/2015,68,41,596,132,345,none
Thursday,4,1/15/2015,81,41,491,167,282,none
Friday,5,1/16/2015,110,38,668,148,476,none
Saturday,6,1/17/2015,129,66,759,190,309,none
Sunday,7,1/18/2015,79,58,580,208,284,none
Monday,1,1/19/2015,76,41,381,125,410,none
Tuesday,2,1/20/2015,60,40,322,111,294,none
Wednesday,3,1/21/2015,87,38,559,119,375,none
Thursday,4,1/22/2015,80,52,466,154,315,none
Friday,5,1/23/2015,98,73,778,187,417,none
Saturday,6,1/24/2015,92,56,702,215,448,none
Sunday,7,1/25/2015,109,75,325,193,511,none
Monday,1,1/26/2015,58,63,443,188,346,none
Tuesday,2,1/27/2015,62,35,423,169,319,none
Wednesday,3,1/28/2015,83,39,373,173,411,none
Thursday,4,1/29/2015,51,57,568,100,463,none
Friday,5,1/30/2015,74,48,629,185,421,none
Saturday,6,1/31/2015,116,59,595,184,434,none
Sunday,7,2/1/2015,107,72,412,175,424,none
Monday,1,2/2/2015,63,40,513,165,375,none
Tuesday,2,2/3/2015,86,37,308,138,312,none
Wednesday,3,2/4/2015,87,61,521,167,337,none
Thursday,4,2/5/2015,72,42,578,132,448,none
Friday,5,2/6/2015,89,77,883,189,356,none
Saturday,6,2/7/2015,110,67,713,219,397,none
Sunday,7,2/8/2015,90,53,845,205,319,none
Monday,1,2/9/2015,96,43,499,179,229,none
Tuesday,2,2/10/2015,53,54,565,240,435,none
Wednesday,3,2/11/2015,71,50,463,150,429,none
Thursday,4,2/12/2015,107,67,576,119,376,promotion
Friday,5,2/13/2015,89,41,594,205,428,none
Saturday,6,2/14/2015,105,64,764,208,712,none
Sunday,7,2/15/2015,117,54,387,166,303,none
Monday,1,2/16/2015,86,54,525,151,392,none
Tuesday,2,2/17/2015,84,43,629,140,406,none
Wednesday,3,2/18/2015,88,46,530,119,387,none
Thursday,4,2/19/2015,102,52,460,216,486,none
Friday,5,2/20/2015,108,70,684,170,518,promotion
Saturday,6,2/21/2015,146,56,634,180,393,none
Sunday,7,2/22/2015,75,31,459,124,453,none
Monday,1,2/23/2015,104,35,552,114,334,none
Tuesday,2,2/24/2015,83,53,538,145,358,promotion
Wednesday,3,2/25/2015,55,45,621,191,257,none
Thursday,4,2/26/2015,102,53,365,190,333,none
Friday,5,2/27/2015,101,77,584,229,335,none
Saturday,6,2/28/2015,115,73,670,225,389,none
Sunday,7,3/1/2015,100,54,648,217,522,none
Monday,1,3/2/2015,116,47,492,193,247,none
Tuesday,2,3/3/2015,37,41,419,199,453,none
Wednesday,3,3/4/2015,85,47,393,166,241,none
Thursday,4,3/5/2015,61,54,568,123,342,none
Friday,5,3/6/2015,124,66,674,235,492,none
Saturday,6,3/7/2015,101,84,581,221,539,none
Sunday,7,3/8/2015,77,77,614,237,208,none
Monday,1,3/9/2015,98,43,451,165,426,promotion
Tuesday,2,3/10/2015,83,49,508,145,448,none
Wednesday,3,3/11/2015,51,48,397,127,317,none
Thursday,4,3/12/2015,70,54,492,171,597,none
Friday,5,3/13/2015,78,49,463,150,244,none
Saturday,6,3/14/2015,119,89,751,153,412,none
Sunday,7,3/15/2015,77,48,475,212,458,none
Monday,1,3/16/2015,78,54,597,297,380,promotion
Tuesday,2,3/17/2015,52,77,448,213,397,promotion
Wednesday,3,3/18/2015,71,57,470,230,164,none
Thursday,4,3/19/2015,88,43,530,194,416,none
Friday,5,3/20/2015,108,89,585,250,558,none
Saturday,6,3/21/2015,94,72,696,276,319,none
Sunday,7,3/22/2015,97,46,708,174,389,none
Monday,1,3/23/2015,54,45,380,161,330,none
Tuesday,2,3/24/2015,67,48,435,138,272,none
Wednesday,3,3/25/2015,67,63,348,199,251,none
Thursday,4,3/26/2015,78,56,523,118,367,none
Friday,5,3/27/2015,94,66,726,149,608,none
Saturday,6,3/28/2015,109,64,686,244,609,none
Sunday,7,3/29/2015,127,56,257,236,446,none
Monday,1,3/30/2015,93,55,547,234,427,promotion
Tuesday,2,3/31/2015,81,39,361,122,429,none
Wednesday,3,4/1/2015,74,41,457,297,259,none
Thursday,4,4/2/2015,73,40,482,199,359,none
Friday,5,4/3/2015,88,41,744,222,584,none
Saturday,6,4/4/2015,84,36,711,326,481,none
Sunday,7,4/5/2015,71,53,541,294,564,none
Monday,1,4/6/2015,48,33,584,211,232,none
Tuesday,2,4/7/2015,92,44,576,212,441,none
Wednesday,3,4/8/2015,74,71,427,194,520,none
Thursday,4,4/9/2015,96,54,521,140,316,none
Friday,5,4/10/2015,94,72,324,239,385,none
Saturday,6,4/11/2015,87,38,701,291,503,none
Sunday,7,4/12/2015,86,61,658,183,540,none
Monday,1,4/13/2015,48,44,485,196,269,none
Tuesday,2,4/14/2015,67,50,575,145,309,none
Wednesday,3,4/15/2015,70,55,354,104,212,none
Thursday,4,4/16/2015,73,48,616,188,357,none
Friday,5,4/17/2015,98,68,657,243,431,none
Saturday,6,4/18/2015,110,72,760,330,431,none
Sunday,7,4/19/2015,112,53,481,231,553,none
Monday,1,4/20/2015,64,48,559,206,454,none
Tuesday,2,4/21/2015,86,47,362,277,484,none
Wednesday,3,4/22/2015,84,65,511,200,342,none
Thursday,4,4/23/2015,83,57,682,301,308,none
Friday,5,4/24/2015,137,68,517,240,398,none
Saturday,6,4/25/2015,85,67,705,175,407,none
Sunday,7,4/26/2015,112,66,465,237,393,none
Monday,1,4/27/2015,71,69,435,162,280,none
Tuesday,2,4/28/2015,90,52,444,160,291,none
Wednesday,3,4/29/2015,81,62,488,253,542,none
Thursday,4,4/30/2015,77,39,328,252,275,none
Friday,5,5/1/2015,85,47,571,290,533,none
Saturday,6,5/2/2015,111,58,760,171,451,none
Sunday,7,5/3/2015,84,58,691,326,553,promotion
Monday,1,5/4/2015,77,37,320,244,262,none
Tuesday,2,5/5/2015,90,48,556,223,412,none
Wednesday,3,5/6/2015,83,51,501,183,341,none
Thursday,4,5/7/2015,97,44,699,153,290,none
Friday,5,5/8/2015,96,45,744,313,480,none
Saturday,6,5/9/2015,113,58,917,351,323,none
Sunday,7,5/10/2015,51,52,678,330,268,none
Monday,1,5/11/2015,92,50,487,282,615,promotion
Tuesday,2,5/12/2015,107,45,444,287,286,none
Wednesday,3,5/13/2015,59,51,598,262,177,none
Thursday,4,5/14/2015,107,64,642,221,395,none
Friday,5,5/15/2015,138,60,704,174,160,none
Saturday,6,5/16/2015,103,66,487,283,543,none
Sunday,7,5/17/2015,108,65,277,310,251,none
Monday,1,5/18/2015,67,51,300,249,460,none
Tuesday,2,5/19/2015,73,57,340,236,413,none
Wednesday,3,5/20/2015,74,44,423,65,278,none
Thursday,4,5/21/2015,54,22,457,266,303,none
Friday,5,5/22/2015,108,57,665,334,303,none
Saturday,6,5/23/2015,165,69,736,312,550,promotion
Sunday,7,5/24/2015,82,68,768,185,570,none
Monday,1,5/25/2015,102,61,569,159,366,promotion
Tuesday,2,5/26/2015,91,49,391,97,261,none
Wednesday,3,5/27/2015,94,30,543,219,506,none
Thursday,4,5/28/2015,90,50,546,212,380,none
Friday,5,5/29/2015,110,65,759,263,489,none
Saturday,6,5/30/2015,99,54,716,419,429,none
Sunday,7,5/31/2015,81,56,525,233,621,none
Monday,1,6/1/2015,56,29,398,336,261,none
Tuesday,2,6/2/2015,58,37,428,259,510,none
Wednesday,3,6/3/2015,63,39,539,244,350,none
Thursday,4,6/4/2015,88,43,623,316,314,none
Friday,5,6/5/2015,115,75,750,290,367,none
Saturday,6,6/6/2015,89,87,684,434,459,none
Sunday,7,6/7/2015,118,55,563,181,462,none
Monday,1,6/8/2015,97,53,394,316,386,none
Tuesday,2,6/9/2015,115,39,553,326,499,promotion
Wednesday,3,6/10/2015,55,52,453,241,300,none
Thursday,4,6/11/2015,89,59,515,281,373,none
Friday,5,6/12/2015,95,63,625,274,370,none
Saturday,6,6/13/2015,118,42,638,260,634,none
Sunday,7,6/14/2015,113,67,477,227,349,none
Monday,1,6/15/2015,82,54,548,276,369,none
Tuesday,2,6/16/2015,65,37,622,351,228,promotion
Wednesday,3,6/17/2015,81,61,548,381,440,none
Thursday,4,6/18/2015,104,49,519,271,323,none
Friday,5,6/19/2015,115,57,621,331,521,none
Saturday,6,6/20/2015,136,61,600,377,480,none
Sunday,7,6/21/2015,118,67,595,241,349,none
Monday,1,6/22/2015,59,61,551,249,318,none
Tuesday,2,6/23/2015,80,54,505,276,395,none
Wednesday,3,6/24/2015,101,59,469,186,201,none
Thursday,4,6/25/2015,76,35,501,157,325,none
Friday,5,6/26/2015,90,64,602,317,434,none
Saturday,6,6/27/2015,106,41,390,251,451,none
Sunday,7,6/28/2015,116,64,364,232,365,none
Monday,1,6/29/2015,85,46,395,283,291,none
Tuesday,2,6/30/2015,65,62,442,361,329,none
Wednesday,3,7/1/2015,85,25,397,256,394,none
Thursday,4,7/2/2015,76,39,415,368,233,none
Friday,5,7/3/2015,114,61,514,269,476,none
Saturday,6,7/4/2015,121,58,814,162,306,none
Sunday,7,7/5/2015,126,59,606,337,555,promotion
Monday,1,7/6/2015,74,45,699,290,359,none
Tuesday,2,7/7/2015,73,57,645,238,368,none
Wednesday,3,7/8/2015,79,56,521,252,344,none
Thursday,4,7/9/2015,81,50,383,274,378,none
Friday,5,7/10/2015,74,66,564,421,621,none
Saturday,6,7/11/2015,126,64,868,477,505,promotion
Sunday,7,7/12/2015,107,38,640,354,482,none
Monday,1,7/13/2015,97,44,366,233,313,none
Tuesday,2,7/14/2015,91,69,525,308,167,none
Wednesday,3,7/15/2015,67,36,373,258,402,none
Thursday,4,7/16/2015,61,42,581,232,491,none
Friday,5,7/17/2015,114,60,627,387,734,promotion
Saturday,6,7/18/2015,105,33,635,214,516,none
Sunday,7,7/19/2015,113,72,688,302,397,none
Monday,1,7/20/2015,97,46,388,205,388,none
Tuesday,2,7/21/2015,65,42,473,220,469,none
Wednesday,3,7/22/2015,94,44,475,232,514,none
Thursday,4,7/23/2015,65,54,487,265,287,none
Friday,5,7/24/2015,130,56,678,301,543,none
Saturday,6,7/25/2015,114,73,623,361,534,none
Sunday,7,7/26/2015,82,61,526,514,386,none
Monday,1,7/27/2015,92,48,615,211,344,none
Tuesday,2,7/28/2015,51,50,493,307,338,none
Wednesday,3,7/29/2015,94,69,473,386,378,promotion
Thursday,4,7/30/2015,87,43,334,229,441,none
Friday,5,7/31/2015,47,55,538,293,272,none
Saturday,6,8/1/2015,109,81,538,417,556,none
Sunday,7,8/2/2015,77,54,340,356,251,none
Monday,1,8/3/2015,69,59,595,261,309,promotion
Tuesday,2,8/4/2015,67,48,612,200,466,none
Wednesday,3,8/5/2015,69,47,544,320,438,none
Thursday,4,8/6/2015,103,61,460,212,375,none
Friday,5,8/7/2015,86,46,749,416,404,promotion
Saturday,6,8/8/2015,61,67,662,326,417,none
Sunday,7,8/9/2015,114,73,526,357,403,none
Monday,1,8/10/2015,43,46,419,259,311,none
Tuesday,2,8/11/2015,86,33,380,308,446,none
Wednesday,3,8/12/2015,57,39,398,161,356,none
Thursday,4,8/13/2015,74,45,539,246,504,none
Friday,5,8/14/2015,122,56,496,241,422,none
Saturday,6,8/15/2015,119,59,470,249,401,none
Sunday,7,8/16/2015,95,57,570,248,406,none
Monday,1,8/17/2015,100,55,643,105,470,promotion
Tuesday,2,8/18/2015,91,56,656,295,428,none
Wednesday,3,8/19/2015,64,48,702,239,225,none
Thursday,4,8/20/2015,81,53,534,221,308,none
Friday,5,8/21/2015,100,76,787,275,277,none
Saturday,6,8/22/2015,71,69,913,272,404,none
Sunday,7,8/23/2015,88,85,846,265,607,none
Monday,1,8/24/2015,74,53,588,261,323,promotion
Tuesday,2,8/25/2015,103,58,474,382,526,none
Wednesday,3,8/26/2015,66,37,669,316,442,promotion
Thursday,4,8/27/2015,87,51,381,304,348,none
Friday,5,8/28/2015,81,67,657,441,432,promotion
Saturday,6,8/29/2015,144,65,695,378,611,none
Sunday,7,8/30/2015,147,74,692,335,343,none
Monday,1,8/31/2015,84,57,484,208,430,none
Tuesday,2,9/1/2015,78,37,415,272,386,none
Wednesday,3,9/2/2015,91,50,577,159,403,none
Thursday,4,9/3/2015,72,65,536,131,390,none
Friday,5,9/4/2015,92,42,686,333,409,none
Saturday,6,9/5/2015,104,74,619,191,545,none
Sunday,7,9/6/2015,116,51,785,277,525,none
Monday,1,9/7/2015,66,47,593,134,316,none
Tuesday,2,9/8/2015,54,48,584,235,230,none
Wednesday,3,9/9/2015,71,29,576,211,304,none
Thursday,4,9/10/2015,101,38,656,124,500,none
Friday,5,9/11/2015,132,61,640,228,254,none
Saturday,6,9/12/2015,115,72,777,299,334,none
Sunday,7,9/13/2015,108,66,762,251,509,none
Monday,1,9/14/2015,76,38,543,139,417,none
Tuesday,2,9/15/2015,129,42,746,243,463,promotion
Wednesday,3,9/16/2015,70,36,434,182,206,none
Thursday,4,9/17/2015,81,59,399,222,460,none
Friday,5,9/18/2015,109,29,621,176,453,none
Saturday,6,9/19/2015,117,77,818,377,495,promotion
Sunday,7,9/20/2015,88,76,651,244,451,none
Monday,1,9/21/2015,153,62,545,258,528,promotion
Tuesday,2,9/22/2015,78,46,510,202,410,none
Wednesday,3,9/23/2015,79,53,618,250,351,none
Thursday,4,9/24/2015,101,57,532,205,368,none
Friday,5,9/25/2015,98,51,445,143,547,none
Saturday,6,9/26/2015,94,79,977,315,557,none
Sunday,7,9/27/2015,109,62,718,140,431,none
Monday,1,9/28/2015,70,44,462,217,272,none
Tuesday,2,9/29/2015,64,44,369,143,260,none
Wednesday,3,9/30/2015,77,63,636,174,253,none
Thursday,4,10/1/2015,86,44,602,267,436,none
Friday,5,10/2/2015,138,71,635,260,387,promotion
Saturday,6,10/3/2015,113,63,966,268,634,none
Sunday,7,10/4/2015,85,68,682,208,450,none
Monday,1,10/5/2015,71,39,653,262,424,none
Tuesday,2,10/6/2015,69,49,275,150,456,none
Wednesday,3,10/7/2015,81,40,849,243,348,none
Thursday,4,10/8/2015,70,32,534,230,246,none
Friday,5,10/9/2015,92,91,719,216,685,promotion
Saturday,6,10/10/2015,105,71,567,338,475,none
Sunday,7,10/11/2015,141,38,515,290,453,none
Monday,1,10/12/2015,50,33,470,234,372,none
Tuesday,2,10/13/2015,61,44,539,228,354,none
Wednesday,3,10/14/2015,115,45,537,176,448,promotion
Thursday,4,10/15/2015,82,42,549,192,492,none
Friday,5,10/16/2015,124,84,573,261,463,none
Saturday,6,10/17/2015,70,76,566,349,686,none
Sunday,7,10/18/2015,119,82,584,269,543,none
Monday,1,10/19/2015,69,37,589,187,298,none
Tuesday,2,10/20/2015,67,38,650,161,337,none
Wednesday,3,10/21/2015,90,47,386,203,316,none
Thursday,4,10/22/2015,94,64,506,235,316,none
Friday,5,10/23/2015,108,45,826,275,361,none
Saturday,6,10/24/2015,63,82,689,275,370,none
Sunday,7,10/25/2015,86,87,465,280,528,none
Monday,1,10/26/2015,91,62,386,110,379,none
Tuesday,2,10/27/2015,97,44,310,137,287,none
Wednesday,3,10/28/2015,69,54,358,176,531,none
Thursday,4,10/29/2015,93,61,581,73,303,none
Friday,5,10/30/2015,91,77,348,258,345,none
Saturday,6,10/31/2015,135,52,441,221,340,none
Sunday,7,11/1/2015,88,80,981,123,417,promotion
Monday,1,11/2/2015,74,39,462,149,286,none
Tuesday,2,11/3/2015,81,48,403,138,419,none
Wednesday,3,11/4/2015,82,37,452,160,234,none
Thursday,4,11/5/2015,73,38,514,223,344,none
Friday,5,11/6/2015,83,57,533,245,469,none
Saturday,6,11/7/2015,105,73,612,166,333,none
Sunday,7,11/8/2015,75,62,646,189,473,promotion
Monday,1,11/9/2015,118,46,523,247,336,promotion
Tuesday,2,11/10/2015,85,66,713,172,404,none
Wednesday,3,11/11/2015,96,38,628,157,237,none
Thursday,4,11/12/2015,92,52,485,142,271,none
Friday,5,11/13/2015,96,48,614,169,265,none
Saturday,6,11/14/2015,132,35,792,147,580,none
Sunday,7,11/15/2015,115,32,529,83,425,none
Monday,1,11/16/2015,96,66,472,172,480,promotion
Tuesday,2,11/17/2015,95,45,699,165,572,none
Wednesday,3,11/18/2015,59,59,375,180,436,none
Thursday,4,11/19/2015,86,63,384,115,369,none
Friday,5,11/20/2015,89,73,490,224,570,none
Saturday,6,11/21/2015,113,74,799,308,470,none
Sunday,7,11/22/2015,105,44,564,225,269,none
Monday,1,11/23/2015,88,40,285,179,318,none
Tuesday,2,11/24/2015,74,41,355,124,332,none
Wednesday,3,11/25/2015,75,52,467,176,461,none
Thursday,4,11/26/2015,97,53,554,122,344,none
Friday,5,11/27/2015,83,67,559,191,391,none
Saturday,6,11/28/2015,113,86,596,197,389,none
Sunday,7,11/29/2015,104,63,532,196,626,none
Monday,1,11/30/2015,82,54,329,145,659,none
Tuesday,2,12/1/2015,85,52,361,148,368,none
Wednesday,3,12/2/2015,59,61,398,156,358,none
Thursday,4,12/3/2015,87,47,345,165,439,none
Friday,5,12/4/2015,109,61,678,192,624,none
Saturday,6,12/5/2015,115,51,535,156,547,none
Sunday,7,12/6/2015,109,45,734,199,453,promotion
Monday,1,12/7/2015,129,72,846,185,384,promotion
Tuesday,2,12/8/2015,79,48,467,188,317,none
Wednesday,3,12/9/2015,85,51,562,134,434,none
Thursday,4,12/10/2015,99,48,728,164,445,none
Friday,5,12/11/2015,156,70,907,274,504,promotion
Saturday,6,12/12/2015,53,58,590,262,423,none
Sunday,7,12/13/2015,78,77,707,185,490,none
Monday,1,12/14/2015,72,70,404,198,380,none
Tuesday,2,12/15/2015,107,60,444,174,272,none
Wednesday,3,12/16/2015,77,48,598,155,419,none
Thursday,4,12/17/2015,65,54,638,107,341,none
Friday,5,12/18/2015,103,63,402,154,327,none
Saturday,6,12/19/2015,148,76,589,168,439,none
Sunday,7,12/20/2015,106,62,657,151,477,none
Monday,1,12/21/2015,73,46,570,156,238,none
Tuesday,2,12/22/2015,103,53,420,134,420,none
Wednesday,3,12/23/2015,72,44,505,156,375,none
Thursday,4,12/24/2015,87,46,564,237,405,none
Friday,5,12/25/2015,90,37,838,240,581,none
Saturday,6,12/26/2015,113,46,445,255,488,none
Sunday,7,12/27/2015,136,49,700,265,483,none
Monday,1,12/28/2015,77,45,605,69,408,none
Tuesday,2,12/29/2015,93,56,508,185,452,none
Wednesday,3,12/30/2015,62,28,458,141,356,none
Thursday,4,12/31/2015,65,56,491,190,446,none